User_ID,Name,Book_Title,Genre,Read_Date,Reading_Duration_Minutes,Rating,Device,Region
2686,Zoe Saldana,The Great Adventure,Science,2023-08-04,55,1.4,Tablet,Asia
2828,Brie Larson,Business Strategies,History,2023-05-23,66,4.7,Tablet,Africa
5757,Dave Bautista,Mystery of the Lost Island,Mystery,2024-07-17,179,2.4,Desktop,Asia
8637,Zoe Saldana,Science and Innovation,History,2023-12-08,106,1.2,Mobile,Asia
1057,Elizabeth Olsen,Mystery of the Lost Island,Biography,2023-10-23,178,3.4,Desktop,North America
4013,Benedict Wong,Deep Space Mysteries,Fiction,2023-06-12,119,2.2,Desktop,North America
9293,Tom Holland,The Great Adventure,Science,2024-08-29,204,1.0,Desktop,South America
2496,Robert Downey Jr.,Self-Improvement Guide,Science,2024-03-02,154,1.4,Desktop,South America
5388,Zoe Saldana,The Great Adventure,Science,2024-08-18,293,1.3,Mobile,North America
4584,Tom Hiddleston,Deep Space Mysteries,History,2024-02-26,105,2.2,Mobile,North America
4631,Robert Downey Jr.,Mystery of the Lost Island,Fiction,2023-04-05,203,4.0,Desktop,Europe
8375,Elizabeth Olsen,Science and Innovation,Non-Fiction,2024-12-22,10,3.0,Mobile,North America
4870,Chris Evans,The Great Adventure,Technology,2024-04-11,127,4.9,Desktop,Africa
2345,Tom Holland,The Great Adventure,History,2025-01-25,275,1.3,Desktop,Europe
2693,Tom Holland,Biography of a Genius,Non-Fiction,2023-09-26,88,4.8,Desktop,Africa
1398,Jeremy Renner,Science and Innovation,Fiction,2024-03-18,280,3.4,Tablet,Africa
5765,Jeremy Renner,Biography of a Genius,Mystery,2024-03-04,57,3.5,Mobile,Asia
9505,Paul Rudd,Deep Space Mysteries,Technology,2024-07-01,161,2.5,Tablet,Europe
8292,Anthony Mackie,The Fantasy Realm,Self-Help,2023-04-18,89,4.4,Desktop,Asia
1691,Chris Hemsworth,Learning Python,Biography,2023-03-26,71,4.7,Desktop,Europe
4286,Sebastian Stan,Deep Space Mysteries,Science,2024-08-13,17,3.5,Tablet,North America
8053,Sebastian Stan,History of the World,History,2024-07-31,155,1.1,Tablet,Asia
6277,Benedict Cumberbatch,Learning Python,Mystery,2023-03-05,194,4.5,Desktop,Asia
3501,Chris Hemsworth,Deep Space Mysteries,Fantasy,2023-11-16,145,3.2,Desktop,Africa
4792,Jeremy Renner,Science and Innovation,Science,2024-04-14,59,1.4,Mobile,South America
6152,Zoe Saldana,Business Strategies,History,2023-07-17,255,1.1,Tablet,Australia
3693,Benedict Wong,History of the World,Mystery,2023-12-21,74,4.4,Mobile,North America
7218,Don Cheadle,History of the World,Biography,2024-02-27,298,1.7,Desktop,North America
7030,Paul Rudd,Science and Innovation,Technology,2023-06-15,295,3.2,Mobile,North America
2464,Benedict Wong,Science and Innovation,Self-Help,2023-08-04,144,2.2,Tablet,South America
6198,Tom Hiddleston,Business Strategies,Self-Help,2024-09-22,216,2.9,Tablet,Europe
